"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_hit_by_pitch","xba","xslg","sl_avg_speed","sl_avg_spin","ch_avg_speed","ch_avg_spin","cu_avg_speed","cu_avg_spin","si_avg_speed","si_avg_spin"
"Manaea, Sean","640455","2018","654","21",16.5,4.9,"8",".262",".452","78.1","1889","82.4","1179","75.9","2052","90.4","1983"
"Keller, Brad","641745","2018","583","7",16.5,8.6,"2",".247",".357","85.6","2470","88.5","1949",,,"93.1","2092"
"Lauer, Eric","641778","2018","504","15",19.8,9.1,"6",".260",".413","82.1","2258","84.7","1710","74.6","2233",,
"Mahle, Tyler","641816","2018","506","22",21.7,10.5,"3",".263",".437","83.3","2511","83.4","1584","76.2","2363",,
"Yarbrough, Ryan","642232","2018","628","18",20.4,8,"8",".253",".406",,,"81.2","2069","76.6","2397","89.3","2018"
"Barria, Jaime","642545","2018","537","17",18.2,8.8,"6",".248",".426","81.8","2276","82.6","1507",,,"90.9","2163"
"Godley, Zack","643327","2018","791","16",23.4,10.2,"12",".255",".403",,,"81.1","1287","81.4","2178","89.9","2234"
"Flaherty, Jack","656427","2018","615","20",29.6,9.6,"11",".203",".325","83.6","2234","85.3","1677","77.2","2410","91.1","1989"
"Newcomb, Sean","656794","2018","696","18",23,11.6,"1",".221",".348","80.5","2583","86.3","1619","76.8","2713",,
"Lucchesi, Joey","664192","2018","548","23",26.5,7.8,"4",".244",".431",,,,,"79.2","2055","90.4","2235"
"Richards, Trevor","670950","2018","547","15",23.8,9.9,"5",".244",".405","80.5","2038","82.9","2243",,,,
"Wainwright, Adam","425794","2019","745","22",20.5,8.6,"8",".265",".429",,,"83.9","1769","74.9","2752","90","2171"
"Greinke, Zack","425844","2019","810","21",23.1,3.7,"4",".238",".389","83.7","2517","87.4","1780","70.6","2446","90.4","2253"
"Hamels, Cole","430935","2019","617","17",23.2,9.1,"7",".247",".417",,,"83.3","1713","78","2040","91.1","2034"
"Verlander, Justin","434378","2019","847","36",35.4,5,"6",".186",".346","87.5","2612","86.9","1866","79.4","2821",,
"Sánchez, Aníbal","434671","2019","712","22",18.8,8.1,"4",".251",".421","83.2","2306","70.7","1421","76.9","2113","90.4","2134"
"Morton, Charlie","450203","2019","790","15",30.4,7.2,"12",".216",".337",,,,,"78.6","2886","93.9","2102"
"Vargas, Jason","450306","2019","649","21",19.1,9.7,"6",".243",".443",,,"78.7","2208","70.6","2433","84.2","2203"
"Lester, Jon","452657","2019","764","26",21.6,6.8,"5",".274",".456",,,"84.3","1939","74.5","2606","89.5","2143"
"LeBlanc, Wade","453281","2019","532","28",17.3,5.8,"1",".280",".491",,,"78.6","1544","72.5","2272","86.1","1888"
"Scherzer, Max","453286","2019","693","18",35.1,4.8,"7",".203",".336","85.6","2365","84.3","1551","78.5","2719",,
"Arrieta, Jake","453562","2019","594","21",18.5,8.6,"7",".266",".446","89.7","2363","87.5","1730","80.6","2766","92.5","2196"
"Bailey, Homer","456701","2019","696","21",21.4,7.6,"4",".262",".416","87.3","1837",,,"78.4","1925","92.7","2031"
"Happ, J.A.","457918","2019","678","34",20.6,7.2,"5",".258",".461","84.8","2191","86","1715","81","2205","89.6","2103"
"Lynn, Lance","458681","2019","875","21",28.1,6.7,"8",".222",".372",,,"86.9","1811","81.2","2352","92.8","2308"
